Cell_type,Genes
cM08 (AS-DC),"['PPP1R14A', 'HLA-DPA1', 'CD74', 'HLA-DPB1', 'VIM', 'HLA-DRA', 'BID', 'HLA-DRB1', 'COTL1', 'AXL', 'GPR183', 'LTB', 'HLA-DMA', 'HLA-DQB1', 'LILRA4', 'AMICA1', 'MYL12A', 'TYROBP', 'IFI30', 'HLA-DQA1', 'SEPT6', 'CSF2RB', 'SEC61B', 'CTSH', 'TYMP', 'PLAC8', 'SPI1', 'LST1', 'SPIB', 'HLA-DMB', 'SAMHD1', 'ARPC3', 'TUBA1A', 'FCER1G', 'ATF5', 'SYNGR2', 'UCP2', 'GAS6', 'LYZ', 'CORO1A', 'THEMIS2', 'PARK7', 'RTN4', 'ALDH2', 'LILRB4', 'C12orf75', 'ALOX5AP', 'LGMN', 'LCP1', 'SERPINB9', 'LRRFIP1', 'ARPC2', 'TPM3', 'GDI2', 'IL3RA', 'S100A10', 'TUBA1B', 'LDLRAD4', 'TCF4', 'SERPINF1', 'DDAH2', 'CFLAR', 'OPN3', 'CD53', 'FAM49B', 'SELL', 'CST3', 'DPYSL2', 'ACTB', 'CAP1', 'PLP2', 'SPN', 'CXCR4', 'KLF4', 'IL4I1', 'ARL4C', 'PTPN1', 'GZMB', 'CYBA', 'VAMP8', 'IFITM2', 'GABARAPL2', 'RHOA', 'ARPC1B', 'C12orf45', 'TRABD', 'MRPS6', 'MYL6', 'PABPC1', 'ARPC5', 'LILRA5', 'CDKN1A', 'SRGN', 'CCDC88A', 'LSP1', 'HCK', 'MAP3K8', 'FUZ', 'PLSCR1', 'APEX1', 'RPS23', 'RPS11', 'HINT1', 'TSPAN13', 'RPSA', 'EEF1A1', 'RPL4', 'RPS4X', 'RPL3', 'RPL23A', 'RPL10A', 'RACK1', 'RPS5', 'RPL5', 'BCL11A', 'CXCR3', 'RPL8', 'RAB11FIP1', 'CDH1', 'FAU', 'ACTG1', 'LIMD2', 'RPS12', 'RPL7A', 'RPS3', 'RPS27', 'RPS18', 'CCND3', 'NKG7', 'RPL19', 'RPL10', 'SUSD1', 'RPLP0', 'RPS3A', 'RPL18', 'EEF1B2', 'RPL37A', 'RPL18A', 'HNRNPA1', 'IRF7', 'RPL6', 'IKZF1', 'RPS8', 'DDIT4', 'RPL11', 'CCNI', 'YWHAZ', 'CCDC50', 'GNB2', 'RPS7', 'S100A6', 'CLIC1', 'CD55', 'ANXA2', 'ECE1', 'CD5', 'APP', 'CD2', 'SEPT9', 'EMP3', 'GPR65', 'S100A4', 'FAM105A', 'ENTPD1', 'RASSF5', 'HNRNPA2B1', 'AIM1', 'TOB1', 'UPK3A', 'GLUL', 'HAVCR2', 'ARHGAP18', 'FAM107B', 'AK2', 'NR4A1', 'ZC3HAV1', 'AREG', 'CD69', 'ZNF706', 'CD47', 'NDUFA4', 'MGST2', 'GPR160']"
cM09 (mregDC),"['HLA-DPB1', 'HLA-DRA', 'CD74', 'TMSB10', 'BIRC3', 'ACTB', 'LSP1', 'FSCN1', 'LAMP3', 'HLA-DPA1', 'GPX4', 'HLA-DQA1', 'CCR7', 'TXN', 'MARCKSL1', 'PFN1', 'HLA-DRB1', 'TYROBP', 'LGALS1', 'CCL19', 'TMSB4X', 'HLA-DQB1', 'CSF2RA', 'TYMP', 'CD83', 'PPA1', 'VIM', 'BASP1', 'EEF1A1', 'GSTP1', 'MYL6', 'ACTG1', 'RGS1', 'EIF1', 'SAMSN1', 'PNRC1', 'CCL22', 'DUSP5', 'RASSF4', 'IDO1', 'ANXA6', 'COTL1', 'ATOX1', 'RAB9A', 'DAPP1', 'IL7R', 'SAT1', 'NAP1L1', 'TUBB', 'GPR183', 'GSN', 'ID2', 'CFLAR', 'GRSF1', 'CTSH', 'TMEM176A', 'SEC61B', 'MARCKS', 'GABARAPL2', 'GPR157', 'SYNGR2', 'CLIC2', 'FTH1', 'CD86', 'B2M', 'LCP1', 'BCL2A1', 'EBI3', 'ZFAS1', 'FNBP1', 'ALDH2', 'RPS27L', 'NUB1', 'REL', 'BTG1', 'MYO1G', 'CRIP1', 'CDKN1A', 'RPL10', 'TMEM176B', 'TNFAIP2', 'NFKB1', 'RELB', 'CFP', 'OSTF1', 'CFL1', 'CST7', 'RFTN1', 'STK4', 'SUB1', 'DUSP4', 'NABP1', 'SRGN', 'CSTA', 'FAM49A', 'PTPN1', 'ARPC2', 'CD40', 'LAD1', 'KYNU', 'RPL35A', 'RPS27A', 'RPL14', 'RPL41', 'RPL15', 'HINT1', 'RPS7', 'RPL11', 'RPL7A', 'RPS19', 'IL32', 'RACK1', 'RPS27', 'RPS14', 'GADD45A', 'RPL3', 'RPL36', 'RPS25', 'RPS23', 'RPS2', 'RPL5', 'RPS4X', 'RPS15', 'RPL18', 'AOC1', 'RPL8', 'RPL13A', 'POGLUT1', 'RPL26', 'EEF2', 'RPL21', 'RPL4', 'CIRBP', 'RPL13', 'RPL9', 'RPS6', 'RAMP1', 'PMAIP1', 'KIF2A', 'SIAH2', 'RPS3', 'MGLL', 'NRP2', 'PPDPF', 'TUBA1C', 'TRAF1', 'NMRK1', 'ISCU', 'TBC1D4', 'IER3', 'HMSD', 'TVP23A', 'CD200', 'ERICH1', 'ZFP36L1', 'LY75', 'RAB8B', 'CYB5A', 'CD274', 'IL15', 'NFKBIA', 'VOPP1', 'ARHGAP10', 'SLCO5A1', 'KDM2B']"
cM10 (Granulocyte),"['CXCL8', 'FTH1', 'NAMPT', 'SRGN', 'G0S2', 'BCL2A1', 'SAT1', 'NEAT1', 'SOD2', 'H3F3B', 'B2M', 'S100A9', 'ALOX5AP', 'S100A8', 'LITAF', 'PLEK', 'IFITM2', 'FTL', 'NFKBIA', 'IVNS1ABP', 'IL1RN', 'IER3', 'LCP2', 'GPR109B', 'IL1B', 'MALAT1', 'AQP9', 'PLAUR', 'PHACTR1', 'CEBPB', 'SLC2A3', 'PPIF', 'TREM1', 'GLUL', 'LINC01272', 'SDCBP', 'CSF3R', 'TYROBP', 'OSM', 'C15orf48', 'FCGR3B', 'HCAR2', 'S100A11', 'HIF1A', 'MXD1', 'ZFP36', 'SOCS3', 'CD44', 'FCGR2A', 'PNRC1', 'HLA-B', 'DUSP1', 'CD53', 'SERPINA1', 'SLC25A37', 'LST1', 'FCER1G', 'PLAU', 'GK', 'TNFAIP6', 'PDE4B', 'CLEC7A', 'CXCR4', 'OLR1', 'CCL3', 'LCP1', 'CLEC4A', 'MNDA', 'ICAM1', 'FPR2', 'SGK1', 'IGSF6', 'RHOH', 'PTGS2', 'ITGAX', 'SAMSN1', 'NCF2', 'TAGAP', 'ACSL1', 'FPR1', 'RP11-213H15.3', 'HLA-C', 'CXCL1', 'CD83', 'CCL3L1', 'MT-RNR2', 'MT-RNR1', 'CDC42EP3', 'PI3', 'CMTM2', 'AC058791.1', 'CCL3L3', 'PROK2', 'IL1R2', 'FFAR2', 'ADGRG3']"
cMA01 (Mast),"['TPSAB1', 'TPSB2', 'CPA3', 'HPGDS', 'SRGN', 'LTC4S', 'MS4A2', 'CD69', 'H3F3B', 'ALOX5AP', 'ANXA1', 'RGS1', 'CLU', 'LAPTM4A', 'SAMSN1', 'FTH1', 'FCER1G', 'CD63', 'VWA5A', 'NFKBIA', 'KIT', 'RPL34', 'S100A4', 'PTMA', 'CD9', 'SLC18A2', 'VIM', 'GATA2', 'CAPG', 'FOS', 'RP11-354E11.2', 'TYROBP', 'RGS2', 'IER2', 'ITM2B', 'JUNB', 'MALAT1', 'C1orf186', 'GLUL', 'DUSP1', 'RGS13', 'HPGD', 'CTSG', 'IL1RL1', 'FTL', 'TSC22D3', 'HDC', 'MAOB', 'ARHGDIB', 'RPL26', 'FAU', 'SOCS1', 'TIMP1', 'B2M', 'CTD-3252C9.4', 'PFDN5', 'JUN', 'CKLF', 'RPL10', 'GPR65', 'RPS27A', 'RPL7', 'RPL32', 'FXYD5', 'RPS4X', 'CNRIP1', 'FOSB', 'RPL36AL', 'ZFP36', 'RPL11', 'CD37', 'TNFAIP3', 'UBB', 'EGR1', 'NSMCE1', 'EMP3', 'PPP1R15A', 'PLIN2', 'GRAP2', 'FCER1A', 'RPL21', 'LAPTM5', 'RAC2', 'RHOH', 'BEX4', 'PTGS1', 'ITM2A', 'BTG2', 'ASAH1', 'SDPR', 'ACSL4', 'CD44', 'KRT1', 'PTGS2', 'RPL35A', 'RPS25', 'C1orf162', 'BTK', 'CTD-3203P2.2', 'NDUFA4']"
cP1 (Plasma IgA),"['JCHAIN', 'IGHA1', 'SSR4', 'MZB1', 'TNFRSF17', 'DERL3', 'FKBP11', 'IGKC', 'IGHA2', 'HERPUD1', 'SEC11C', 'XBP1', 'CD79A', 'DNAJB9', 'FKBP2', 'SPCS2', 'UBE2J1', 'SSR3', 'SPCS1', 'FAM46C', 'RP3-412A9.11', 'SDF2L1', 'GNG7', 'MANF', 'IGLC2', 'POU2AF1', 'CRELD2', 'PRDX4', 'TSC22D3', 'PABPC4', 'FCRL5', 'PIM2', 'CD27', 'ANKRD28', 'ISG20', 'SPCS3', 'TXNDC15', 'VIMP', 'PLPP5', 'CYBA', 'HSP90B1', 'SEC61B', 'TRAM1', 'RP11-884K10.5', 'EVI2B', 'GYPC', 'EAF2', 'IGLC3', 'CCR10', 'BTG2', 'MEI1', 'CIRBP', 'DUSP5', 'SLAMF7', 'KRTCAP2', 'CD38', 'ERLEC1', 'PDIA6', 'SPAG4', 'H1FX', 'LGALS1', 'ICAM2', 'PDIA4', 'ICAM3', 'PRDM1', 'CREB3L2', 'TNFRSF13B', 'MEF2C', 'SERP1', 'SEC62', 'NUCB2', 'CCPG1', 'DNAJC3', 'TMEM59', 'SDC1', 'TPST2', 'TNFRSF18', 'TXNDC11', 'DNAJC1', 'PDK1', 'VIM', 'A1BG', 'ERN1', 'C19orf10', 'CITED2', 'EMP3', 'LY96', 'RP11-290F5.1', 'SPATS2', 'CHPF', 'LMAN2', 'DDOST', 'RABAC1', 'ALG5', 'TMEM258', 'SUB1', 'C16orf74', 'SEL1L', 'ITGB7', 'CD48', 'RPL3', 'GLTSCR2', 'EEF1A1', 'RPL10', 'TIMP1', 'RPL13A', 'RPS6', 'RPS4X', 'RPS20', 'RPS14', 'RPLP2', 'RPL12', 'RPL17', 'RPL5', 'DUSP1', 'SLC25A6', 'HNRNPA1', 'RPL31', 'RPS17', 'RPL7', 'RPL34', 'EEF2', 'RPL15', 'RPL27A', 'RPL13', 'RPL23A', 'RPS25', 'RPS3', 'RPL9', 'RPL8', 'RPL14', 'RPS18', 'RNASET2', 'RPL18', 'RPL11', 'RPL32', 'RPL35A', 'RPS27', 'RPL4', 'RPS3A', 'RACK1', 'PPDPF', 'RPL19', 'ITM2B', 'EIF4A2', 'RPL26', 'RPS16', 'RPL10A', 'EEF1D', 'RPS2', 'RPL36A', 'RPS27A', 'RPL6', 'XIST', 'RPS12', 'RPS9', 'TNFRSF4', 'RPS23', 'SPINK2', 'RPL21', 'RPL41', 'EIF3L', 'RPL38', 'RPS5', 'CTD-3252C9.4', 'CD63', 'BTF3', 'RPS15A', 'RPS26', 'SPINT2', 'RPL18A', 'RPL36', 'FOS', 'RPLP0', 'PAIP2B', 'RPL39', 'EIF3D', 'GPR160', 'TOMM7', 'NPM1', 'FXYD5', 'EIF3E', 'HSPB1', 'RPL36AL']"
cP2 (Plasma IgG),"['MZB1', 'SSR4', 'XBP1', 'IGKC', 'JCHAIN', 'DERL3', 'HERPUD1', 'IGHA1', 'FKBP11', 'TNFRSF17', 'SEC11C', 'CD79A', 'SPCS2', 'SPCS3', 'FAM46C', 'PIM2', 'PRDX4', 'UBE2J1', 'FCRL5', 'ANKRD28', 'SSR3', 'FKBP2', 'POU2AF1', 'SDF2L1', 'IGHG3', 'PRDM1', 'BTG2', 'DNAJB9', 'SPCS1', 'CD38', 'HSP90B1', 'IGHG1', 'TP53INP1', 'ERLEC1', 'ISG20', 'VIMP', 'MANF', 'TXNDC15', 'IGHA2', 'PLPP5', 'LMAN1', 'IGLC3', 'CD27', 'SEC61B', 'CREB3L2', 'CRELD2', 'RP11-884K10.5', 'ERN1', 'SEL1L', 'IGLC2', 'TSC22D3', 'IGHG4', 'ELL2', 'MEF2C', 'TXNDC11', 'TRAM1', 'PDK1', 'EAF2', 'CYBA', 'SLAMF7', 'JSRP1', 'RP3-412A9.11', 'SPATS2', 'KLF13', 'SEL1L3', 'SUB1', 'IFNAR2', 'RABAC1', 'RGS1', 'ZBP1', 'IGHG2', 'LY96', 'C19orf10', 'HIST1H1C', 'GYPC', 'GLCCI1', 'MEI1', 'SEC14L1', 'CPNE5', 'SPAG4', 'RP11-16E12.2', 'ST6GAL1', 'RP11-290F5.1', 'IGHM', 'DNAJC1', 'ICAM2', 'RAB30', 'SRM', 'SEC62', 'NUCB2', 'ALG5', 'GNG7', 'CLPTM1L', 'FBXW7', 'LAX1', 'H1FX', 'LGALS1', 'TPST2', 'PPIB', 'CITED2', 'NEAT1', 'MALAT1', 'MT-RNR1', 'MT-CO2', 'MT-RNR2', 'MT-ATP6', 'CXCR4', 'MT-ND4', 'MT-ND3', 'SAT1', 'MT-CO1', 'IGHGP', 'CPEB4', 'MT-CO3', 'MT-ND5', 'MT-ND1', 'COX7A2', 'MT-CYB', 'ANKRD12', 'PSME2', 'HIST1H2AC', 'GPR183', 'GLRX', 'PHPT1', 'CCND2', 'RASSF6', 'RNF213', 'CFLAR', 'POU2F2', 'H3F3A', 'DERL1', 'EIF5', 'EDEM1', 'RBM33', 'DDX17', 'PTP4A2', 'VOPP1', 'TIMM8B', 'FNDC3B', 'TYMP', 'EHMT1', 'SEC24A', 'CADM1', 'RNASE6', 'SAR1B', 'UQCC2', 'ATM', 'NDUFA4', 'CTSH', 'GAS6', 'KDELR2', 'DNAAF1', 'JUND', 'NDUFAF6', 'NXPE3', 'KIAA1551']"
cP3 (Plasma IgG prolif),"['MZB1', 'SEC11C', 'XBP1', 'DERL3', 'SPCS3', 'FKBP11', 'SDF2L1', 'SPCS2', 'JCHAIN', 'UBE2J1', 'SSR3', 'HSP90B1', 'SUB1', 'POU2AF1', 'SEC61B', 'TNFRSF17', 'C19orf10', 'IGKC', 'PPIB', 'LMAN1', 'SSR4', 'MANF', 'IGHA1', 'CD38', 'FAM46C', 'HIST1H4C', 'H2AFZ', 'CRELD2', 'SPCS1', 'PIM2', 'SRM', 'FKBP2', 'CD79A', 'PDIA4', 'PDIA6', 'ISG20', 'PRDX4', 'OSTC', 'EAF2', 'SMC4', 'CCDC167', 'RRM2', 'MTDH', 'PRDM1', 'CLPTM1L', 'HERPUD1', 'FCRL5', 'ERLEC1', 'CD27', 'ELL2', 'PLPP5', 'TRAM1', 'STMN1', 'TXNDC15', 'IFNAR2', 'TMEM258', 'IGHG3', 'MYBL2', 'TYMS', 'HIST1H1C', 'SEC61G', 'RABAC1', 'RPN2', 'KDELR2', 'DNAJB11', 'DERL1', 'MKI67', 'HMGB1', 'VIMP', 'HMGB2', 'RP11-884K10.5', 'SSR1', 'SERP1', 'VOPP1', 'COPE', 'SEC14L1', 'TXNDC11', 'ANKRD28', 'MEF2C', 'SPATS2', 'LMAN2', 'IGHG1', 'PCLAF', 'IGLC3', 'GGH', 'PTTG1', 'BIRC5', 'DNAJC1', 'CTSH', 'DAD1', 'GMPPB', 'HM13', 'SLAMF7', 'UBE2S', 'HSPA5', 'ALG5', 'TUBA1B', 'TP53INP1', 'CCDC69', 'PSME2', 'H3F3A', 'PTMA', 'GAPDH', 'HMGN2', 'PPIA', 'TUBB', 'RAN', 'CHCHD2', 'COX6C', 'COX8A', 'ACTB', 'RPS24', 'H2AFV', 'ATP5G3', 'LDHA', 'CFL1', 'ATP5E', 'UQCRH', 'HNRNPA2B1', 'RPS21', 'SLC25A5', 'SNRPG', 'ATP5J', 'YBX1', 'COX7B', 'CENPW', 'TPI1', 'LSM3', 'SNRPB', 'MZT2B', 'NDUFA4', 'NDUFV2', 'MYL6', 'ANP32B', 'HN1', 'NDUFS6', 'ENO1', 'CYCS', 'COX7A2', 'RANBP1', 'PFN1', 'HMGN1', 'COX6A1', 'RBX1', 'CKS2', 'RPSA', 'COX6B1', 'RPA3', 'SLC25A3', 'UQCRQ', 'UQCR10', 'CKS1B', 'ATP5J2', 'ARPC2', 'SNRPD1', 'LDHB', 'LSM5', 'POMP', 'TMPO', 'SERBP1', 'SET', 'GNG5', 'NUCKS1', 'CDKN3', 'DUT', 'SNRPF', 'PGAM1', 'PSMA7', 'CALM3', 'HNRNPAB', 'ANP32E', 'LSM7', 'PSMB3', 'SRP14', 'ATP5B', 'MAD2L1']"
cTNI01 (CD4+ IL7R+),"['MALAT1', 'IL7R', 'BTG1', 'FYB1', 'CXCR4', 'CD3D', 'PTPRC', 'EVL', 'TXNIP', 'TRBC2', 'CD3E', 'TSC22D3', 'CD2', 'IKZF1', 'LTB', 'PIK3IP1', 'SARAF', 'CD3G', 'ACAP1', 'RORA', 'CCR7', 'CD69', 'CLEC2D', 'GIMAP7', 'FYN', 'KLRB1', 'ETS1', 'GIMAP4', 'SPOCK2', 'TRAC', 'TRAF3IP3', 'ITK', 'BCL11B', 'CD48', 'CD40LG', 'RIPOR2', 'CD6', 'SELL', 'LEF1', 'TXK', 'MT-ND3', 'MT-ND2', 'MT-CO3', 'MT-CYB', 'MT-ND4', 'MT-ND1', 'MT-CO2', 'MT-ATP6', 'MT-CO1', 'MT-RNR2', 'ATM', 'MT-ND5', 'PABPC1', 'TCF7', 'SERINC5', 'MT-RNR1', 'MT-ND4L', 'NKTR', 'XIST']"
cTNI02 (CD4+ IL7R+SELL+),"['RPS27', 'RPS27A', 'RPS3A', 'RPL32', 'RPS12', 'RPL34', 'RPL13', 'RPS15A', 'RPS25', 'EEF1A1', 'RPL30', 'RPL9', 'RPL11', 'RPS13', 'RPL21', 'RPS14', 'RPL3', 'RPL19', 'RPS3', 'RPL10', 'RPL35A', 'RPS8', 'JUNB', 'RPS6', 'BTG1', 'RPS29', 'RPS23', 'RPLP2', 'RPL23A', 'RPS28', 'RPL22', 'RPL39', 'CD69', 'RPS4X', 'RPS16', 'RPL37', 'RPL5', 'RPL10A', 'RPL26', 'RPL28', 'RPL14', 'RPL18A', 'RPL41', 'RPL4', 'EEF1B2', 'IL7R', 'TPT1', 'RPL38', 'CXCR4', 'RPSA', 'RPS18', 'FAU', 'RPL18', 'RPL13A', 'RPL27', 'UBA52', 'SARAF', 'RPS20', 'RPL24', 'RPS10', 'RPL6', 'TOMM7', 'EEF1D', 'RPLP1', 'RPS9', 'CD3D', 'RPS15', 'LTB', 'RPS5', 'TRBC2', 'RPS2', 'RPL29', 'RPL15', 'PFDN5', 'MALAT1', 'RPL7', 'RPL27A', 'CD3E', 'CD48', 'RPL12', 'PABPC1', 'RPS7', 'RPL36', 'GLTSCR2', 'RPL31', 'NACA', 'RPS19', 'RPS21', 'CCR7', 'EIF3E', 'LDHB', 'ZFP36L2', 'TSC22D3', 'FYB1', 'RACK1', 'RPL35', 'FOS', 'NPM1', 'CD52', 'FXYD5', 'RPL8', 'RPL37A', 'RPL7A', 'KLF2', 'RPL36A', 'RPL23', 'RPS11', 'GPR183', 'TCF7', 'SELL', 'EEF2', 'RPLP0', 'ZFAS1', 'C6orf48', 'RPS24', 'SNHG8']"
cTNI03 (CD4+ IL7R+HSP+),"['HSPA1B', 'RPS27', 'RPL34', 'RPS29', 'RPS15A', 'HSPA1A', 'RPS25', 'BTG1', 'RPS27A', 'RPL21', 'IL7R', 'EEF1A1', 'RPL32', 'DNAJB1', 'RPL13', 'RPLP2', 'RPL3', 'RPL10', 'RPS3', 'RPS12', 'RPS3A', 'JUN', 'RPLP1', 'RPL11', 'RPS6', 'CD3D', 'MALAT1', 'RPS14', 'CXCR4', 'RPL9', 'RPL23A', 'RPL13A', 'RPL39', 'RPL30', 'CD3E', 'TXNIP', 'RPL19', 'RPL35A', 'RPL31', 'RPL38', 'RPL27A', 'TRBC2', 'RPS28', 'RPS19', 'RPL41', 'CD52', 'RPL36A', 'RPS13', 'RPL26', 'HSP90AA1', 'RPL28', 'B2M', 'RPL4', 'RPL18A', 'RPS16', 'RPS17', 'EEF1D', 'RPL14', 'RPL27', 'RPL7', 'TSC22D3', 'RPS4X', 'RPS10', 'RPS18', 'RPL37', 'LTB', 'SARAF', 'RPS8', 'RPL10A', 'FAU', 'FXYD5', 'CD69', 'TOMM7', 'RPS20', 'RPS23', 'GLTSCR2', 'RPS2', 'HLA-B', 'RPSA', 'RPS15', 'CD2', 'DUSP1', 'HSPA8', 'PIK3IP1', 'RPL17', 'RPL35', 'ZFP36L2', 'ARHGDIB', 'RPL22', 'RPS9', 'TMSB4X', 'RPL15', 'JUNB', 'RPL5', 'UBA52', 'RPS21', 'PFDN5', 'RPL36', 'CD7', 'LAPTM5', 'RPL12', 'RPLP0', 'HSPE1', 'RPL18', 'RPS5', 'RPL8', 'EEF1B2', 'KLF2', 'RACK1', 'FOS', 'RPL37A', 'EIF3E', 'RPL29', 'PABPC1', 'HSPB1', 'CCR7', 'TPT1', 'SELL', 'EEF2', 'LDHB', 'NPM1', 'RGS2', 'ANXA1', 'HSPH1', 'EGR1', 'HSPA6', 'HSP90AB1', 'EIF4A2', 'BTG2', 'IER2', 'FOSB', 'GIMAP4', 'UBB', 'RHOB', 'UBC']"
cTNI04 (CD4+ IL7R+CCL5+),"['IL7R', 'RPLP1', 'CD69', 'CXCR4', 'BTG1', 'RPS27A', 'KLRB1', 'TSC22D3', 'RPS27', 'CD3D', 'S100A4', 'EEF1A1', 'RPS12', 'RPL34', 'ZFP36L2', 'RPL13', 'TPT1', 'RPS15A', 'RPS25', 'RPL10', 'RPL32', 'CD52', 'CD2', 'DUSP1', 'RPL30', 'RPS3A', 'LTB', 'TRBC2', 'B2M', 'FOS', 'RPL28', 'ANXA1', 'RPL9', 'TNFAIP3', 'RPS29', 'RPS19', 'CD3E', 'RPS3', 'RPL11', 'RPL3', 'RPL21', 'RPL23A', 'RPS14', 'NFKBIA', 'RPLP2', 'TXNIP', 'RPL19', 'IL32', 'TMSB4X', 'RPSA', 'RPS16', 'RPS13', 'KLF6', 'RPL35A', 'RPL14', 'RPS4X', 'RPS6', 'FAU', 'RPL39', 'RPL41', 'RPL27', 'RPL10A', 'ARHGDIB', 'UBA52', 'RPL6', 'RPL26', 'RPS23', 'SARAF', 'CORO1A', 'RPS10', 'JUNB', 'MALAT1', 'RPL5', 'RPL18A', 'RPL37', 'TOMM7', 'CD48', 'CYTIP', 'SRGN', 'GPR171', 'RPL38', 'HLA-B', 'RPL13A', 'RPS8', 'RPL27A', 'EEF1D', 'RPS20', 'RORA', 'RPL4', 'VIM', 'EVL', 'PFDN5', 'GPR183', 'GMFG', 'CD3G', 'RPL22', 'RPL15', 'SPOCK2', 'RPS18', 'HCST', 'RPLP0', 'RPS5', 'RPS2', 'RPL35', 'EEF1B2', 'RPL18', 'RPL29', 'RPL12', 'RPL36', 'RPS21', 'RPS9', 'RPL8', 'CD40LG', 'RPL7', 'RPL7A', 'RPS28', 'RPL36A', 'S100A11', 'S100A10', 'RPL31', 'GLTSCR2', 'RPS7', 'JUN', 'FTH1', 'RPL37A', 'RPL24', 'S100A6', 'CCL5', 'ZFP36', 'CTD-3252C9.4', 'ID2', 'FKBP11', 'FOSB', 'PTGER2', 'AC092580.4', 'MYADM', 'HOPX', 'ITM2B', 'PDCD4', 'PLAC8']"
cTNI05 (CD4+ IL17+),"['KLRB1', 'CD3D', 'S100A4', 'CD2', 'TRBC2', 'B2M', 'CD52', 'TMSB4X', 'RGS1', 'CD3E', 'AC092580.4', 'RPLP1', 'SH3BGRL3', 'CD3G', 'ARHGDIB', 'ACTB', 'BTG1', 'CORO1A', 'PFN1', 'CKLF', 'IL32', 'EVL', 'GZMA', 'ID2', 'CD69', 'TRAC', 'LCK', 'LAPTM5', 'RORA', 'SPOCK2', 'SRGN', 'FYB1', 'LTB', 'GMFG', 'PTPRC', 'IL7R', 'RAC2', 'TNFAIP3', 'RPS27', 'HLA-B', 'CXCR4', 'MYL12A', 'ALOX5AP', 'ACAP1', 'ARPC2', 'CD40LG', 'TSC22D3', 'STK17B', 'RPS29', 'RAP1B', 'EIF1', 'CYTIP', 'HLA-A', 'OSTF1', 'HLA-C', 'CD6', 'TMA7', 'CALM1', 'CFL1', 'COTL1', 'IL2RG', 'RPS15A', 'ARPC1B', 'RARRES3', 'MYL6', 'DUSP1', 'CD7', 'STK17A', 'ABRACL', 'HCST', 'RPS19', 'MALAT1', 'TPT1', 'KLF6', 'VIM', 'EEF1A1', 'GPSM3', 'LAT', 'TBC1D10C', 'AAK1', 'NFKBIA', 'GPR171', 'SARAF', 'LSP1', 'RPS27A', 'CD96', 'CCL20', 'ATP5E', 'CXCR6', 'SLA', 'CYTOR', 'RPL34', 'UBA52', 'EEF1D', 'DDX5', 'AMICA1', 'PPP1R18', 'YWHAQ', 'RPL28', 'CLEC2D', 'S100A6', 'IL17A', 'TMEM167A', 'CTSH', 'CAPG', 'FTH1', 'CCR6', 'SELT', 'CAPZB', 'ANKRD28', 'RPLP0', 'MAF', 'ITM2B', 'ACTG1', 'TPM4', 'MGAT4A', 'IL26', 'MYL12B', 'YWHAH', 'ADAM19', 'ZFP36L1', 'GPR183', 'SERF2', 'CREM', 'RAP1A', 'LGALS3', 'CIB1', 'ATP5L', 'S100A11', 'FURIN', 'UCP2', 'DYNLL1', 'IFI44', 'RP11-138A9.1', 'NDUFB2', 'TNFRSF25', 'FKBP11', 'ADA', 'FNBP1', 'RBPJ', 'UQCR11', 'ARPC3', 'RP11-138A9.2', 'CCDC107', 'NDUFV2', 'TMIGD2', 'GAPDH', 'DRAP1', 'CLIC1', 'ABI3', 'CLEC2B', 'PSME2', 'CAP1', 'PPP1CA', 'IFI27L2', 'PSME1', 'ACTR3', 'PSMA7', 'DBI', 'RHOA', 'TPM3', 'TPI1', 'ELOB', 'UBL5', 'COX8A', 'POMP']"
